BookTitle,BookAuthor,BookPrice,imageLink,BookLink,BookStore
RIY with LB Lvl 1 Peppa pig Going swimming,Ladybird,"
                
                    KES 200
                
            ",https://textbookcentre.com//media/cache/a1/6e/a16ed6c55fa6654b3a244e0b44467106.jpg,https://textbookcentre.com//catalogue/riy-with-lb-lvl-1-peppa-pig-going-swimming_273688/,Textbook Centre
A Promised Land (Barack Obama),Barack Obama,"
                
                    KES 1,990
                
            ",https://textbookcentre.com//media/cache/59/eb/59eba61ae9ed41699aefec3854b9fb8e.jpg,https://textbookcentre.com//catalogue/a-promised-land-barack-obama_300304/,Textbook Centre
RIY with Ladybird Level 2 Going on Holiday,Ladybird,"
                
                    KES 200
                
            ",https://textbookcentre.com//media/cache/29/ad/29ad5080a84046be87236a6983efd194.jpg,https://textbookcentre.com//catalogue/riy-with-ladybird-level-2-going-on-holiday_273685/,Textbook Centre
Crafty Chameleon (Kenn),"""Hadithi,Kennaway"",	Hodd…","
                
                    KES 550
                
            ",https://textbookcentre.com//media/cache/95/a0/95a0fa7b9385b1b9ee7d7ffe7a7a9b19.jpg,https://textbookcentre.com//catalogue/crafty-chameleon-kenn_15302/,Textbook Centre
Sapiens: A Brief histrory of humankind,Harari,"
                
                    KES 1,190
                
            ",https://textbookcentre.com//media/cache/c2/e4/c2e40bb7cabd2faf7e46b96e5904a9c0.jpg,https://textbookcentre.com//catalogue/sapiens-a-brief-histrory-of-humankind_220285/,Textbook Centre
Polycarp Otieno's Written In The Stars,"Melissa Wakhu, Polycarp …","
                
                    KES 950
                
            ",https://textbookcentre.com//media/cache/23/77/237739c3a5b441f77ceb562b55bff7d0.jpg,https://textbookcentre.com//catalogue/polycarp-otienos-written-in-the-stars_319271/,Textbook Centre
Transcendent kingdom,Yaa Gyasi,"
                
                    KES 990
                
            ",https://textbookcentre.com//media/cache/1f/ab/1fab3cf5f2fdb9f0c7b05a3371815fd0.jpg,https://textbookcentre.com//catalogue/transcendent-kingdom_294195/,Textbook Centre
RIY with LB Lvl 2 Peppa pig Camping Trip,Ladybird,"
                
                    KES 200
                
            ",https://textbookcentre.com//media/cache/e4/10/e410bfaf9662c6a93737aaa883b5006b.jpg,https://textbookcentre.com//catalogue/riy-with-lb-lvl-2-peppa-pig-camping-trip_273561/,Textbook Centre
The Death of Vivek Oji,Akwaeke Emezi,"
                
                    KES 1,350
                
            ",https://textbookcentre.com//media/cache/65/3a/653a3781f88483ce9f19f8a91a25b2c1.jpg,https://textbookcentre.com//catalogue/the-death-of-vivek-oji_301729/,Textbook Centre
RIY level 3 the Jungle book,ladybird,"
                
                    KES 200
                
            ",https://textbookcentre.com//media/cache/44/29/44297bf1be94b097eb3776358f12c2ea.jpg,https://textbookcentre.com//catalogue/riy-level-3-the-jungle-book_8712/,Textbook Centre
The Sex Lives of African Women (Hachette),Nana Darkoa Sekyiama,"
                
                    KES 2,350
                
            ",https://textbookcentre.com//media/cache/78/14/78140dc8ec1b393bae7b089642a5404e.jpg,https://textbookcentre.com//catalogue/the-sex-lives-of-african-women-hachette_317882/,Textbook Centre
The Blessed Girl,Angela Makholwa,"
                
                    KES 1,215
                
            ",https://textbookcentre.com//media/cache/a1/c5/a1c5afddb47dad7e1dbcbf1b348d970c.jpg,https://textbookcentre.com//catalogue/the-blessed-girl_310084/,Textbook Centre
Smart Kids Sticker Dinosaur,"
                
                    KES 200
                
            ","
                
                    KES 200
                
            ",https://textbookcentre.com//media/cache/3c/a6/3ca69e1aa99aa6b9aff54c5efd14c74c.jpg,https://textbookcentre.com//catalogue/smart-kids-sticker-dinosaur_274926/,Textbook Centre
Lazy Lion (Kenn),"Hadithi,Kennaway","
                
                    KES 550
                
            ",https://textbookcentre.com//media/cache/0e/4a/0e4a6c84c5cd1f3f7a0bbba15c0fd82c.jpg,https://textbookcentre.com//catalogue/lazy-lion-kenn_12010/,Textbook Centre
Diary of a Wimpy Kid: Dog Days,Jeff Kinney,"
                
                    KES 800
                
            ",https://textbookcentre.com//media/cache/31/fd/31fde2a413a3fadc6a01432262184e77.jpg,https://textbookcentre.com//catalogue/diary-of-a-wimpy-kid-dog-days_13035/,Textbook Centre
We Should all be Feminists (US Version),Chimamanda Ngozi Adichie,"
                
                    KES 550
                
            ",https://textbookcentre.com//media/cache/0f/09/0f09ee0da35a2281c82ebd974525979d.jpg,https://textbookcentre.com//catalogue/we-should-all-be-feminists-us-version_298013/,Textbook Centre
Alka 121 Moral Stories,"
                
                    KES 400
                
            ","
                
                    KES 400
                
            ",https://textbookcentre.com//media/cache/a4/e6/a4e6d46fb4599c46dd0cfaaae49df68b.jpg,https://textbookcentre.com//catalogue/alka-121-moral-stories_265594/,Textbook Centre
Peppa Pig: Playing Football - Read It Yourself with Ladybird Level 2,Ladybird,"
                
                    KES 200
                
            ",https://textbookcentre.com//media/cache/1b/e2/1be2b68ad74b35a4cdbdb33956b7932d.jpg,https://textbookcentre.com//catalogue/peppa-pig-playing-football-read-it-yourself-with-ladybird-level-2_275535/,Textbook Centre
How Women Rise (Small),"Helgesen,Goldsmith","
                
                    KES 1,090
                
            ",https://textbookcentre.com//media/cache/05/e6/05e61138caf81dfa0bb104f0192af98a.jpg,https://textbookcentre.com//catalogue/how-women-rise-small_227603/,Textbook Centre
Famous Five: Five go off to camp,Enid Blyton,"
                
                    KES 590
                
            ",https://textbookcentre.com//media/cache/82/b3/82b306dcbb2e1fc07968e64524f07cb2.jpg,https://textbookcentre.com//catalogue/famous-five-five-go-off-to-camp_228293/,Textbook Centre
['https://textbookcentre.com//media/cache/a1/6e/a16ed6c55fa6654b3a244e0b44467106.jpg'],"[{'url': 'https://textbookcentre.com//media/cache/a1/6e/a16ed6c55fa6654b3a244e0b44467106.jpg', 'path': 'full/8dbc7b689f1eded56fbc03c6658b5743557b96d0.jpg', 'checksum': '0d6cab45f570da2cb01c7b1c5113e917', 'status': 'uptodate'}]"
